trail,overall_rating,comment_title,ratings,comment_text
Tunnel View,5.0,A Must Place To Stop,5.0 of 5 bubbles,"Even for just 15 minutes, stop here. Enjoy the view and take a lot of pictures. It is so beautiful to just view the cascading mountain slopes. And it was so busy, parking lot is almost always full. We took pictures and left."
Tunnel View,5.0,STUPENDOUS!,5.0 of 5 bubbles,"I don't think I'll ever be able to forget how spectacular this natural wonder is.  Not to be missed.  It is almost as though one can't tear one's eyes away.  I've never seen any photo, even Ansel Adams' (which is magnificent) that have done his justice."
Tunnel View,5.0,The Best View in the National Park System,5.0 of 5 bubbles,"There is a reason National Geographic chose this site for its cover picture on National Parks, it is the most amazing view in the NPS.  The way El Capitan, Half Dome and Bridal Veil Falls are perfectly framed here makes this an amazing, MUST SEE sight.  I have been fortunate enough to see it twice and both times it confirms the existence of the Almighty.  It is perfect for pictures with people and all by itself.  It is a place you simply MUST VISIT if you come to the park.  It is truly amazing and incredible, beyond an ability for words to capture.  However, to show you what the NPS thinks about the view, Tunnel View is the scene for the best NPS sign I have seen."
Tunnel View,5.0,Most iconic view of Yosemite Valley,5.0 of 5 bubbles,"This is the MOST iconic view point of Yosemite Valley and you shouldn’t miss this spot while visiting the Park. Visit the area either early morning or during sunset hours and the view is going to reward you. Don’t be in rush, take some photos and appreciate the view!"
Tunnel View,5.0,Mother Nature at her best.,5.0 of 5 bubbles,Read on here that sunrise is the best time to visit. I guess must be contingent on weather conditions. Got there an hour before sunrise until and 1 1/2 hours after and was honestly underwhelmed. I guess time of year and sun position must have an influence also.
Tunnel View,5.0,Late Afternoon Photo Spot,4.0 of 5 bubbles,"If you want a great view of the Yosemite Valley but don't have the time or desire to drive all the way to Glacier Point, then at least take the time to drive here.  It can be crowded but the parking lot is pretty large and most people don't spend a lot of time here, so parking spots are usually available.  We went just before sunset and the golden late afternoon light shining on El Capitan was spectacular."
Tunnel View,5.0,Best entrance to experience Yosemite's beauty. ,5.0 of 5 bubbles,Absolutely the best way to enter the park.  If you have to come to Yosemite from 120 or 140 then go to the tunnel before seeing the park. And you may want to visit it again before you leave.   It will be a different experience each time. 
Tunnel View,5.0,Beautiful,5.0 of 5 bubbles,We wanted to see the view coming out of the tunnel - so drove through and turned around.  Just magnificent.  There are parking lots on both sides of the road so please do stop and get out and admire the beauty.  It's well worth it.
Tunnel View,5.0,A Magnificent View of Yosemite Valley,5.0 of 5 bubbles,"As we drove toward Yosemite Valley we came out of the Tunnel and planned to stop at the parking lot to see the view.  It gets very busy and it can take a few minutes to find parking.  It only took us 3 or 4 minutes because we happened to find someone pulling out.  However, it usually takes longer and requires some patience. The view of Yosemite Valley is spectacular and it provides a panorama of Half Dome and El Capitan and the valley.  We were able to get some terrific pictures. This is a must stop location on the way into the Valley."
Tunnel View,5.0,Excellent view of the valley,5.0 of 5 bubbles,This was the 1st point of our full day trip to Yosemite National Park. The place offers excellent view of the valley and North Dome at the back. There were lots of tourists at this place for a great view of the valley and is a great photo stop. Also there was space to accomodate many vehicles.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Bridalveil Fall,4.5,parking lot is closed due to maintenance,3.0 of 5 bubbles,when we visited the park in mid june of 2021 the parking area for Bridal Veil Fall was closed due to maintenance. there wasn't any parking to be found. the parking area for swinging bridge was packed and people were double parking in the area. we didn't get to hike to this fall
Bridalveil Fall,4.5,An Iconic Waterfall,5.0 of 5 bubbles,"These waters cascade more than 600 feet down a sheer rock surface. They are very high up, and the wind currents there blow the falling waters into a fine mist. The Native Americans called this the “Spirit of the Puffing Wind”."
Bridalveil Fall,4.5,Bridalveil Falls was roaring and loud!!,5.0 of 5 bubbles,"This is a stunning waterfall that is a must see and do on your bucket list.  We recently traveled to Yosemite national park and wanted to see all the waterfalls throughout the park.  California had a very rainy and snowy winter, above average, so going there in early June was the perfect time to see Bridalveil Falls.  The snow was melting at such a high clip, that the water flow was massive and roaring with no stopping insight.  We got excelling videos and pictures.  The waterfalls look like a bridal veil, thus the name."
Bridalveil Fall,4.5,"Beautiful, but beware the smoke",5.0 of 5 bubbles,"As of our visit on September 13th, the water is flowing and you can still hike up to the base of the falls.  There's some restoration work going on in the area, but it didn't hamper us at all.  The main deterrent right now is the smoke, which is off and on going from a little foggy to nightfall at noon.  "
Bridalveil Fall,4.5,Misty Bridal Veil is best in June,5.0 of 5 bubbles,"Bridal Veil is best in June.  Bring a plastic bag to wear.  The mist will soak you.  And wear sturdy non-slip shoes as the rocks are wet.  Sadly, some people don't feel they have to pick up their trash.  Be a good do bee and bring a trash bag to pick up litter.  Not enough rangers to do that efficiently on the trails.  I have my kids do the same when we hike anywhere.  We do it on our way back unless we see a pile of trash.  Then we stop and pick it up.  People on tour buses are the worst.  I think they view our National parks like Disneyland where there are people to pick up after you.  I guess they are right because my family picks up their trash.  Maybe the tour opporators should say something to the tourists with them."
Bridalveil Fall,4.5,Centrepiece of some classic Yosemite views,4.0 of 5 bubbles,"The trail to the falls remains closed, but you can view them from Valley View, Tunnel View and from pull-overs on the road in the western end of the Valley."
Bridalveil Fall,4.5,Beautiful Waterfall !,5.0 of 5 bubbles,A beautiful waterfall! Catch it in the right light and it can look like a firefall. It is a short and easy hike to the viewing area. The fall is very beautiful and you will probably get hit with the spray and mist of it. This is especially nice on a hot day. Beware: don’t go beyond the railings. Many have been injured and a couple even killed climbing over the rocks( wet polished granite with moss). It is perfectly safe and enjoyable from the viewing area. Unfortunately this year (2020) the parking lot and trail are closed. The fall can be seen from the road or at other points in the valley.
Bridalveil Fall,4.5,Water was still coming in strong.,5.0 of 5 bubbles,Mid September and the fall was still pretty heavy. Parking lot was still in repairs but had no trouble in finding a spot on the street near the trailhead. Beautiful sight worth the visit.
Bridalveil Fall,4.5,Flowing ,5.0 of 5 bubbles,"Still flowing in September, that one is particularly nice in the evening during sunset. Very nice waterfall "
Bridalveil Fall,4.5,Bust,2.0 of 5 bubbles,"Between the water no longer flowing off the falls, the incredible amount of smoke from the Creek Fire, along with the the parking area being closed due to construction, BridalVeil Falls was a complete flop for us.  Something we were really excited to see, and we didn't get to experience really any of what we were hoping to."
,,,,
,,,,
,,,,
,,,,
,,,,
Sentinel Dome,5.0,THE view at Yosemite!,5.0 of 5 bubbles,"This is the place to come for views if you only have limited time or are unable to undertake some of the more strenuous hikes. The short and fairly easy hike to the dome is followed by a marginally steep but also short hike up the dome itself, upon the summit of which truly glorious views of the region can be found in all directions - Half Dome, El Capitan and all the rest. This is a superior view to that from Glacier Point other than being somewhat further away from Nevada Falls."
Sentinel Dome,5.0,New parking lots!,5.0 of 5 bubbles,"This is one of my favorite places to hike in Yosemite, and I was happy to ascend the dome twice during my October visit."
Sentinel Dome,5.0,Spectacular Sentinel Dome,5.0 of 5 bubbles,"Our second favorite hike at Yosemite (Nevada Falls Loops was #1).  The main portion of the hike is short and fairly easy.  It's the last portion when you have to climb the dome to the top that is really tough.  It is extremely steep and challenging to climb, but the payoff is immense.  This hike isn't as crowded as some of the rest, and some people stop halfway up the dome and don't make it.  We left early for this hike and were able to enjoy the top of the dome for 15 minutes before anyone else made it up..and the views were just spectacular.  My key tip:  don't give up half way up the dome like many...take your time and pace yourself...you won't regret it."
Sentinel Dome,5.0,Greats views!,5.0 of 5 bubbles,"The views from Sentinel dome are breathtaking.  You can see Half Dome and the eastern half of Yosemite Valley on one side, and El Capitan, the Three Brothers, and the western half of Yosemite Valley on the other side."
Sentinel Dome,5.0,Amazing views with relatively short hike,5.0 of 5 bubbles,Don't miss this hike!  It's pretty short but the pay off is amazing.  It took us about 30 minutes or so to get to the top where there is a panoramic view.  The view is probably better than at Glacier Point and it wasn't crowded.  Definitely worth the time.  Would be amazing to see the sun set here.
Sentinel Dome,5.0,Great Hike and Awesome Views!,5.0 of 5 bubbles,"We were in Yosemite for 2 full days between our time in San Francisco and Las Vegas. Honestly, I thought this would be the low point of the trip but we enjoyed it just as much or more than the the other legs."
Sentinel Dome,5.0,Breathtaking Vista point,5.0 of 5 bubbles,"In Lonley Plant they say that this hike seems like a cheat. You get to such wonderfull Vista point with relatively short trail which is fairly easy. The view is astonishing, you can see the entire valley with it magnificent rock formation. You can also see the Nevada falls. The trail it self is relatively flat and just in the very end You climb to the Dome. We saw several small children doing the trail"
Sentinel Dome,5.0,Get a 360 degree view of the entire valley without a difficult hike!,5.0 of 5 bubbles,"The hike up to Sentinel Dome is relatively easy, especially in comparison to many of the other hikes in Yosemite.  It is mostly flat until you get around the dome, and then you climb up.  It's just over a mile each way, but not overly strenuous.  Even the climb at the end isn't that bad.  Once you are up there..."
Sentinel Dome,5.0,Great place to get a 360 view of the Yosemite Park,5.0 of 5 bubbles,This is a great place to get a 360 degree view of the Park. The trail to get access to the dome is pretty easy. The parking lot does get full pretty quickly so ensure to visit outside of busy hours.
Sentinel Dome,5.0,"Road closed, view dome from afar",5.0 of 5 bubbles,"Since Glacier Point Road is closed this year, it’s not really feasible to enjoy the short hike up to the top of Sentinel Dome.  So this year we just viewed Sentinel Dome from North Dome across the Valley.  It is a very different perspective to look at Sentinel Dome rather than being on Sentinel Dome."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mist Trail,5.0,Should be top Yosemite hike on everyone's list,5.0 of 5 bubbles,"Worth every minute of the climb! The first mile or so is bland upward climbing but soon enough the falls come into view and everything becomes so immersive that you forget about the continual stairs (and there are indeed large parts of actual stairs here). Even during this summer of extremely low water levels and an essentially completely dry Yosemite Falls by late July, both Vernal and Nevada Falls were incredibly beautiful."
Mist Trail,5.0,There is water on the way up,5.0 of 5 bubbles,I just wanted to inform you all that there are a few free fountains water on the way up. About after 30/45min going up.
Mist Trail,5.0,Highlight of our California ( SF-Monterey-Yosemite) fortnight - WOW!,5.0 of 5 bubbles,"Probably the best hike we’ve ever done as a family, we walked to Vernal Falls first and then on up Nevada Falls and back. C.7 miles, c3,500 total climb, c.4 hours walking but c.7 hours total with all the WOW view stops and a proper break at the top of Nevada Falls before following the John Muir trail back down (a little longer but less busy and not just retreading the steps you take up)"
Mist Trail,5.0,"Drenched, and loved it!",5.0 of 5 bubbles,"After a heavy winter snow, the run off of water was exceptional.  The trail can take some time and finish and it is always up hill with a lot of steps!  The views are worth it though! Absolutely bring a waterproof jacket, pack etc.  My trip past Vernal falls was so full of spray the falls were almost unseeble, some choosing to actally turn back ( though I doubt it's normally this bad)  since the trail was with in the heavy spray. It is really worth the trip, and plan to spend some time at the top of Nevada falls where you can sit down for a picnic!  The views are great as you look down the valley past the ""silver apron"" and ""Emerald pools"".  "
Mist Trail,5.0,Steep But Worth It,5.0 of 5 bubbles,"We had already done quite a bit of walking/hiking before we started up this trail (from the parking lot to Lower Yosemite Falls, then to Mirror Lake, then to the trailhead for this hike)  since the shuttle buses are not operating this Summer.  For that reason, I only walked up the the Vernal Falls footbridge - my wife did continue a bit further to the bottom of the stairs going up to the top of Vernal Falls.  Even up to the footbridge, the trail, while wide and paved, is still quite steep and also pretty crowded.  If we had been able to ride the shuttles to some of the trailheads I would have liked to go further up on this trail, but by the end of the day I had put over 14 miles in, so I was glad I decided to stop here.  It was still quite a beautiful hike, and one everyone who is capable of should try and do."
Mist Trail,5.0,Not for kids,4.0 of 5 bubbles,"This is an amazing trail that leads to Vernal and Nevada Falls. It is not for kids though! We saw so many young kids or people hiking with flip flops on, I hope they weren't going past the steps to Vernal Falls. It is not too bad of a hike to the bottom of Vernal and you can get a great view! But once the stairs get wet, and the trail gets crowded, it can be very tricky. More people die on this trail than any other part of Yosemite. We turned around once the handrail for the stairs ended, it was too crowded and slippery to go any further without something to hold on to. Still got some amazing pictures!"
Mist Trail,5.0,Wonderful Hike!,5.0 of 5 bubbles,"Considered  a moderately strenuous hike covering slightly over 1000 feet in elevation change. The Mist trail is 0.8 miles to the footbridge (so 1-1/2 miles round trip) OR, 1.2 miles approx to the top of Vernal Falls(2.4 miles round trip) . Good ops of Vernal Falls from the footbridge. Also of note is that there is water available just past the footbridge to fill up water bottle. The second half of the hike from footbridge to the falls is considerably more uphill, but my wife and I in our mid 60's got to the base of Vernal Falls. Allow for 2 to 3 hours depending on length of hike and ability.  Recommendation is to hike in the morning during the summer months!"
Mist Trail,5.0,Our Favorite Hike at Yosemite... so far!,5.0 of 5 bubbles,"This was hands down our favorite and most challenging hike at Yosemite considering we were on a family trip. It starts off pretty easy, with a steady uphill, and when you reach the spectacular verbal falls, it’s approximately 600 steps to the top. "
Mist Trail,5.0,Challenging steep uphill hike,5.0 of 5 bubbles,"For these 60+ y.o. legs, was a bit challenging. The walk to Vernal Falls bridge is easy, to the top of Vernal Falls moderate but WORTH IT, and extended to the bridge that gives you a great view of Nevada Falls. We turned around here because it would be another 1000 ft and 2 hrs to go all the way to the top of Nevada falls. "
Mist Trail,5.0,Trail with lots of civilization,4.0 of 5 bubbles,We headed up the Mist Trail with dozens of other hikers and walkers.  The first part to the footbridge is paved and busy busy busy.  The view of Illilouette Fall is an extra bonus.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Tioga Pass,5.0,Take an Extra 20 mile down out of the park,5.0 of 5 bubbles,"This is a GREAT drive, with beautiful view of mountains, valleys, and Half Dome.  If taking the road from the west, it starts off slow but gets better as you head towards the Tioga Pass. Once you reach the pass, you need to continue out of the park for about another 20 miles to the town of Lee Vining, through  Inyo National Forest.  This drive was about 20 miles, dropping from an elevation of 9,945 feet to 6,837 feet.  It was INCREDIBLE!!!!  The town was nothing.  We thought we would stop for some Ice cream, but could not find anything from a convivence store.  But you will LOVE the drive, almost straight down, with the view of mountains, lakes  and the valley.  Don't miss it!"
Tioga Pass,5.0,Scenic but very scary. Would not do it again,3.0 of 5 bubbles,"Oh this pass is scary. Great view but there is a point (direction yosemite to Lee Vining)  where you are just about hanging on the cliff, driving to the edge no barriers no protection no anything. We were driving also with an RV which made it worse. You are at a point looking ahead and you observe the road going abruptly down on the other side of the mountain thinking omg are you going to be there too and oh yes you are."
Tioga Pass,5.0,Grand Sights,4.0 of 5 bubbles,"The east entrance to the park is the lesser-used entrance and a beautiful drive through mountains, meadows, and valleys.  We were fortunate enough to get a day pass, but the line was still very long because it was filled with people that did not realize they needed a pass.  Once in the park, we sat for a long time in a construction pilot car line.  The parking lots in the valley were all full or closed.  The park has become a very difficult place to maneuver/enjoy.  The sights are spectacular, but the time spent getting from one place to another detracts greatly from the experience."
Tioga Pass,5.0,Construction,5.0 of 5 bubbles,"We had to wait for a pilot car to travel on Tioga Pass Road through the construction, but there is no more beautiful place to sit in a car.  Everywhere you look are amazing views. "
Tioga Pass,5.0,Road trip the Pass,5.0 of 5 bubbles,This is a beautiful drive from the valley through the alpine of Yosemite. It’s a spectacular drive into Lee Vining. We drove it all the way to 6E and then through Nevada but the pass itself is wonderful. I would love to do it when I have time to stop and do some of the hikes or swim in the lake.
Tioga Pass,5.0,Don’t miss this drive if the rod is open!,5.0 of 5 bubbles,"This is a beautiful drive that shouldn’t be missed when the road is open. I love that it wasnt’t crowded in mid august. Granite formation you see along the drive, the lakes, the snow capped peaks was incredibly scenic! I prefer Tioga pass than  the valley floor honestly. From Lee Vining to the valley floor we made 4 stops & ended up to be an 8 hour ordeal. Take your time & just take it all in. You won’t regret it. Tip: if you’re short on time skip Tuolumne grove. The hike back is strenuous 1 mile."
Tioga Pass,5.0,Bold scenery,5.0 of 5 bubbles,"Man this drive was stunning. This drive is actually better than the actual park itself. The rock formations,(Olmstead pt) the 2 lakes you see (tenaya and tioga lake , the  Tuolumne meadows, and I hiked up lembert dome, these are the 4th spectacular stops you must see, the tioga lake is last. This is on the eastern part of park. I was coming from San Francisco so got there around 1pmand got out of there by dusk. If you have 2 days in yosemite, make this part of it. The valley is beautiful but of course only the lower waterfalls was flowing so that might be my opinion. I think tioga is more breathtaking. I had 2 days in yosemite and once again spent one of them here. This was early October 2022"
Tioga Pass,5.0,"This was a beautiful road, but please exercise caution!",5.0 of 5 bubbles,"If you enjoy hairpin turns, scenery that you would expect in the movies, and tons of adventures, drive this road. It was arduous to drive once the sun went down. Olmsted Point and Tuolumne Meadows were on this road. The speed limits did change quite a bit."
Tioga Pass,5.0,Wonderful Drive,5.0 of 5 bubbles,We were a little hesitant to make the drive. A lot of reviews and youtube videos talked about it being scary and frightening. It really wasn't bad at all. The Hetch Hetchy drive to the reservoir was worse.
Tioga Pass,5.0,The best part of yosemite,5.0 of 5 bubbles,"There is so much to see! Different terrains, beautiful photo opportunities. Our favorites were Yosemite creek picnic area, Olmsted point, tenaya lake swimming and enoing, and pothole dome. A perfect day for our family of six!"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Vernal Fall,4.5,Premier Hike Expereience!,5.0 of 5 bubbles,"If you are adventurous , this hike is well worth it. The trail to Vernal falls is 1-1/2 miles round trip to footbridge( or about 2-1/2 miles roundtrip to top of falls)   and considered to be ""moderately strenuous"". My wife and I were 64 and 63 years old when we did the hike in mid July of 2021. Note of caution however, is it can be really hot in July on that trail....so.  instead of going in the afternoon, we opted for the next morning when it was considerably cooler , which was smart. Trail covers a little over 1000 feet in elevation and is mostly uphill with a few downhill stretches. A little over halfway to the falls proper, you come to the footbridge (0.8 miles in) , from whence you can see the falls in the distance, offering good photo ops. The reminder of the trail from the bridge to the falls is more uphill, and one should consider going on or not, depending on health, water, etc.. There is water available just past the bridge to refill bottles. My wife and I did do the second stretch to just beneath the falls, However, we did NOT do the additional distance from beneath the falls to the top of the falls- But a friend of ours had done it and thought it worth while, but being in our 60's and somewhat tired, we decided to turn around and head back. Overall the hike was roughly 3 hours for my wife and I due to the additional walking from the first parking area (not the second smaller trail head lot) to the Mist Trail trail head. My wife and I enjoyed it thoroughly and certainly recommend the hike! PS Falls are 317 feet in height with impressive different colored granite as backdrop!"
Vernal Fall,4.5,Starts moderate then gets strenuous ,5.0 of 5 bubbles,"This trail starts moderate but gets tougher with steep unsteady path and steps. You need sensible walking footwear and a level of fitness to get to the top of the waterfall and come back down the same way. We set off 8am and there were flies around but cool, returning 1-2pm it was much hotter, busier and no flies."
Vernal Fall,4.5,Yosemite is still worth visiting !,4.0 of 5 bubbles,"Vernal Falls is just as beautiful from last time we visited . However, at this time, the water level was low and not misty as the trail was named towards the falls. "
Vernal Fall,4.5,Spectacular !!!!,5.0 of 5 bubbles,What an amazing view and wonderful trip. Can't believe we were able to hike this challenging uphill trail to a beautiful waterfall. Water was freezing but did not stop others from jumping in. Can't wait to go back when the falls are fuller. 
Vernal Fall,4.5,Worth the CLIMB!,5.0 of 5 bubbles,"My girlfriend and I were just in Yosemite on a day trip and wanted the shortest hike to a waterfall to save on time. While it was definitely A HIKE (all up hill), it took just a few hours to go up to the falls and back down. Plenty of spots to rest, catch your breath, and take in the beautiful scenery! Pack your water bottle, don't worry there is a restroom half way up. The falls are gorgeous and if you're lucky, you'll catch a rainbow through the mists! Wear good hiking shoes, the stairs by the falls are steep, wet, and slippery! "
Vernal Fall,4.5,"Strenuous hike, worth the trip for the falls and vista",4.0 of 5 bubbles,"Falls were beautiful but not at full strength as it was October.  For me, it was as much or more about the vistas and the exercise.  "
Vernal Fall,4.5,Simply stunning and breathtaking,5.0 of 5 bubbles,"Best hike of my life!! No words to describe how beautiful the trail and the falls are. 1) It’s nearly 4 miles roundrip if you stay on the mist trail (not 2.5 or 3 miles as some claim). 2) It’s 6.1 miles if you go up the mist trail and down the John Muir trail. 3) There is a TON of water in the summer, not sure what these other reviewer‘s were seeing or not seeing. 4) The stairs make it very strenuous. Be realistic about your abilities rather than and give les stars because of your physical condition. 5) If you’re not physically fit, go to the foot bridge and back. The views at the foot bridge are still worth it!!"
Vernal Fall,4.5,Loved seeing the falls in September,4.0 of 5 bubbles,"Well we loved seeing the falls from the bridge, but really disappointed the Mist Trail was closed during the day.  After the brutal climb up theJohn Muir trail, it was disappointing to not get that close to the falls.  Maybe next time !"
Vernal Fall,4.5,Go early in the day!,5.0 of 5 bubbles,"We started just after 7am and had few others with us on the trail. It was a steep incline, but most people can do this very popular hike. I wouldn’t have wanted to be starting this hike later in the day like the people we saw on our way back down from Nevada Fall. "
Vernal Fall,4.5,Mist trail is the way to fully experience,4.0 of 5 bubbles,"Unfortunately the Mist Trail was closed until 3.30 on the day I was there. You really need the Mist Trail to get the full effect of these falls. You can see the falls from a distance on the JMT or else from a top down angle at the top of the falls by heading down from Clark Point, but I couldn't really get the full appreciation."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mariposa Grove of Giant Sequoias,4.5,Finally seeing the famous Sequoias!,5.0 of 5 bubbles,"What a wonderful day in Mariposa Grove. Being our first time in Yosemite we knew the Sequoias in Mariposa Grove would be the first site we wanted to see. The area was busy and parking was very packed. There is a shuttle service to the trailhead which is very necessary (without the shuttle you would have to take a very steep 2 mile hike just to get to the trailhead). There are various hikes you can take and obviously the shorter routes are much busier. Have an idea prior to your trip on what you want to see to better determine the route you want to take. Our family went further than a majority of the crowds and made our way to the Telescope Tree (very cool to actually go inside a Sequoia!). Our ""custom"" hike was just under 6 miles. Take breaks and plenty of water especially on a warm day!"
Mariposa Grove of Giant Sequoias,4.5,"Great views of the sequias, but take the long hike!",5.0 of 5 bubbles,"We loved our visit to the mariposa grove.  Outside of Muir Woods in CA, this was our first visit to a large grove and it was really breathtaking.  Most folks on tours or visiting only go on the shorter trail. Take the long trail and see the trees around the upper grove.  We would have hiked more, but missed a few shortcuts we could have taken on perimeter trails They could use some better maps to show how the short cuts will save you time, especially for folks that dont want longer hikes.  Fantastic views for us with fantastic weather!"
